subject_id	subject_snippet	property	object_id	object_label	object_snippet	snippet
http://zora.uni-trier.de:11000/entity/Q600	Linguet	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q3048	politique	politisch-ideologisches Schrifttum	Neben der extremistischen politischen Rhetorik (vor allem Robespier-res und Saint-Justs) bringt das Jahrzehnt naturgemäß ein überbordendes politisch-ideologisches Schrifttum für und wider die Revolution hervor. Zum militanten (vor-)revolutionären Schrifttum tragen Chamfort und Mably, Marat und Linguet, Anacharsis Cloots (V&ux d’un gallophile, 1786) und vor allen der Abbe Sieyes bei.
http://zora.uni-trier.de:11000/entity/Q839	Sade	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2972	Lumières	Aufklärung	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
http://zora.uni-trier.de:11000/entity/Q1067	Aline et Valcour	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q2972	Lumières	Aufklärung	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
http://zora.uni-trier.de:11000/entity/Q1068	Philosophie dans le boudoir	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q2972	Lumières	Aufklärung	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
http://zora.uni-trier.de:11000/entity/Q1060	Justine ou Les malheurs de la vertu	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q2972	Lumières	Aufklärung	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
http://zora.uni-trier.de:11000/entity/Q839	Sade	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q3069	révolution	Revolution	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
http://zora.uni-trier.de:11000/entity/Q1067	Aline et Valcour	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3069	révolution	Revolution	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
http://zora.uni-trier.de:11000/entity/Q1068	Philosophie dans le boudoir	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3069	révolution	Revolution	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
http://zora.uni-trier.de:11000/entity/Q1060	Justine ou Les malheurs de la vertu	http://zora.uni-trier.de:11000/entity/P25	http://data.mimotext.uni-trier.de/entity/Q3069	révolution	Revolution	Sade unterminiert die Aufklärung wie auch die Revolution und kehrt sie diskursiv radikal um (Aline et Valcour, 1793; La Philosophie dans le boudoir, 1795; La nouvelle Justine ou Les malheurs de la vertu, 1797).
https://data.mimotext.uni-trier.de/entity/Q322	Duclos	http://zora.uni-trier.de:11000/entity/P22	http://data.mimotext.uni-trier.de/entity/Q2992	mœurs	Sitten	maßgeblichen höfischen Kontexts und des Ideals der >honnetete< tritt zurück, die Moralistik wird individualistischer und verlagert sich in die aufklärerische Anthropologie, die moralischen Wochenschriften, die zeitgenössische Sitten beschreibende Traktatliteratur (z. B. Wo die Moralis-tik politisch bzw. sozialkritisch ausgerichtet ist, bewegt sie sich am Rande der großen Themen der Aufklärung.
